Zeit,Temperatur(℃),Taupunkt(℃),Wärmeindex(℃),Luftfeuchtigkeit(%)
2020/11/27 19:27,8.3,0.3,8.3,57
2020/11/27 19:32,8.0,0.2,8.0,58
2020/11/27 19:37,7.8,0.3,7.8,59
2020/11/27 19:42,9.3,3.5,9.3,67
2020/11/27 19:47,10.3,1.9,10.3,56
2020/11/27 19:52,10.2,1.3,10.2,54
2020/11/27 19:57,10.2,1.0,10.2,53
2020/11/27 20:14,10.1,0.4,10.1,51
2020/11/27 20:19,10.1,0.4,10.1,51
2020/11/27 20:24,10.1,0.4,10.1,51
2020/11/27 20:29,10.1,0.4,10.1,51
2020/11/27 20:34,10.4,1.2,10.4,53
2020/11/27 20:39,10.3,0.9,10.3,52
2020/11/27 20:44,10.2,0.8,10.2,52
2020/11/27 20:54,10.1,0.4,10.1,51
2020/11/27 21:04,10.1,0.4,10.1,51
2020/11/27 21:14,10.1,0.1,10.1,50
2020/11/27 21:30,10.1,0.1,10.1,50
2020/11/27 21:40,10.1,0.1,10.1,50
2020/11/27 21:50,10.1,0.1,10.1,50
2020/11/27 22:00,10.1,0.1,10.1,50
2020/11/27 22:10,10.1,0.1,10.1,50
2020/11/27 22:20,10.1,0.1,10.1,50
2020/11/27 22:30,10.1,0.1,10.1,50
2020/11/27 22:40,10.1,0.1,10.1,50
2020/11/27 22:50,10.1,0.1,10.1,50
2020/11/27 23:00,10.1,0.1,10.1,50
2020/11/27 23:10,10.1,0.1,10.1,50
2020/11/27 23:20,10.1,0.1,10.1,50
2020/11/27 23:30,10.1,0.1,10.1,50
2020/11/27 23:40,10.1,-0.1,10.1,49
2020/11/27 23:50,10.0,-0.2,10.0,49
2020/11/28 0:00,10.1,-0.1,10.1,49
2020/11/28 0:10,10.0,-0.2,10.0,49
2020/11/28 0:20,10.0,-0.2,10.0,49
2020/11/28 0:30,10.1,-0.1,10.1,49
2020/11/28 0:40,10.1,-0.1,10.1,49
2020/11/28 0:50,10.1,-0.1,10.1,49
2020/11/28 1:00,10.1,-0.1,10.1,49
2020/11/28 1:10,10.0,-0.2,10.0,49
2020/11/28 1:20,10.0,-0.2,10.0,49
2020/11/28 1:30,10.0,-0.2,10.0,49
2020/11/28 1:40,9.9,-0.3,9.9,49
2020/11/28 1:50,9.9,-0.3,9.9,49
2020/11/28 2:00,9.9,-0.3,9.9,49
2020/11/28 2:10,9.9,-0.3,9.9,49
2020/11/28 2:20,9.9,-0.3,9.9,49
2020/11/28 2:30,9.9,-0.3,9.9,49
2020/11/28 2:40,9.9,-0.3,9.9,49
2020/11/28 2:50,9.9,-0.3,9.9,49
