Zeit,Temperatur Innen(℃),Luftfeuchtigkeit Innen(%),Temperatur Aussen(℃),Luftfeuchtigkeit Aussen(%),Taupunkt(℃),Gefühlte Temperatur(℃),Wind(km/h),Böe(km/h),Windrichtung(°),Abs. Luftdruck(hpa),Rel. Luftdruck(hpa),Sonneneinstrahlung(w/m2),UVI,Regen/Stunde(mm),Regen Event(mm),Regen/Tag(mm),Regen/Wochen(mm),Regen/Monat(mm),Regen/Jahre(mm),Pm2.5(ug/m3)
2023/12/1 0:00,19.1,58,-0.5,99,-0.7,-0.5,0.0,0.0,36,955.0,1003.8,0.0,0,0.0,0.0,0.0,1.6,0.0,1188.7,--
2023/12/1 0:02,19.0,58,-0.6,99,-0.8,-0.6,0.0,0.0,36,954.7,1003.5,0.0,0,0.0,0.0,0.0,1.6,0.0,1188.7,--
2023/12/1 0:05,19.0,59,-0.7,99,-0.9,-0.7,0.0,0.0,35,954.9,1003.7,0.0,0,0.0,0.0,0.0,1.6,0.0,1188.7,--
2023/12/1 0:08,19.0,59,-0.7,99,-0.9,-0.7,0.0,0.0,25,954.6,1003.4,0.0,0,0.0,0.0,0.0,1.6,0.0,1188.7,--
2023/12/1 0:11,18.9,59,-0.7,99,-0.9,-0.7,0.7,1.8,25,954.9,1003.7,0.0,0,0.0,0.0,0.0,1.6,0.0,1188.7,--
2023/12/1 0:14,18.9,59,-0.7,99,-0.9,-0.7,1.8,1.8,5,954.7,1003.5,0.0,0,0.0,0.0,0.0,1.6,0.0,1188.7,--
2023/12/1 0:17,18.8,59,-0.7,99,-0.9,-0.7,0.4,1.8,7,954.8,1003.6,0.0,0,0.0,0.0,0.0,1.6,0.0,1188.7,--
2023/12/1 0:20,18.8,59,-0.7,99,-0.9,-0.7,1.1,1.8,7,955.0,1003.8,0.0,0,0.0,0.0,0.0,1.6,0.0,1188.7,--
2023/12/1 0:23,18.8,59,-0.7,99,-0.9,-0.7,0.0,0.0,7,954.8,1003.6,0.0,0,0.0,0.0,0.0,1.6,0.0,1188.7,--
2023/12/1 0:26,18.7,59,-0.7,99,-0.9,-0.7,1.4,1.8,2,954.9,1003.7,0.0,0,0.0,0.0,0.0,1.6,0.0,1188.7,--
2023/12/1 0:29,18.7,59,-0.7,99,-0.9,-0.7,0.0,0.0,2,954.9,1003.7,0.0,0,0.0,0.0,0.0,1.6,0.0,1188.7,--
2023/12/1 0:32,18.7,59,-0.6,99,-0.8,-0.6,0.0,0.0,3,955.0,1003.8,0.0,0,0.0,0.0,0.0,1.6,0.0,1188.7,--
2023/12/1 0:35,18.6,59,-0.6,99,-0.8,-0.6,0.0,0.0,3,955.1,1003.9,0.0,0,0.0,0.0,0.0,1.6,0.0,1188.7,--
2023/12/1 0:38,18.6,59,-0.5,99,-0.7,-0.5,0.0,0.0,3,955.2,1004.0,0.0,0,0.0,0.0,0.0,1.6,0.0,1188.7,--
