Time,Indoor Temperature(℃),Indoor Humidity(%),Outdoor Temperature(℃),Outdoor Humidity(%),Dew Point(℃),Feels Like (℃),Wind(m/s),Gust(m/s),Wind Direction(°),ABS Pressure(hpa),REL Pressure(hpa),Solar Rad.(w/m2),UVI,Hourly Rain(mm),Event Rain(mm),Daily Rain(mm),Weekly Rain(mm),Monthly Rain(mm),Yearly Rain(mm),Pm2.5(ug/m3)
2020/11/27 19:12,20.6,53,4.1,63,-2.3,4.1,0.0,0.0,153,975.2,975.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2020/11/27 19:17,20.4,53,2.0,68,-3.3,2.0,0.0,0.0,153,975.3,975.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
2020/11/27 19:22,20.3,54,0.6,75,-3.3,0.6,0.0,0.0,153,975.3,975.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,--
