Zeit,Temperatur(℃),Taupunkt(℃),Wärmeindex(℃),Luftfeuchtigkeit(%)
2020/12/1 17:57,13.0,6.4,13.0,64
2020/12/1 18:02,13.0,6.4,13.0,64
2020/12/1 18:07,13.0,6.4,13.0,64
2020/12/1 18:12,13.0,6.4,13.0,64
2020/12/1 18:17,13.0,6.4,13.0,64
2020/12/1 18:22,13.0,6.4,13.0,64
2020/12/1 18:27,13.0,6.4,13.0,64
2020/12/1 18:32,13.0,6.4,13.0,64
2020/12/1 18:37,13.0,6.4,13.0,64
2020/12/1 18:42,13.0,6.4,13.0,64
2020/12/1 18:47,13.0,6.4,13.0,64
2020/12/1 18:52,13.0,6.4,13.0,64
2020/12/1 21:26,23.1,10.6,23.1,45
2020/12/1 21:31,22.9,10.4,22.9,45
2020/12/1 21:36,22.7,10.2,22.7,45
2020/12/1 21:41,22.6,10.1,22.6,45
2020/12/1 21:46,22.4,9.9,22.4,45
2020/12/1 21:51,22.3,9.8,22.3,45
2020/12/1 21:56,22.2,10.1,22.2,46
2020/12/1 22:01,22.1,10.0,22.1,46
2020/12/1 22:06,21.8,9.7,21.8,46
2020/12/1 22:11,21.5,9.7,21.5,47
2020/12/1 22:16,21.4,9.6,21.4,47
2020/12/1 22:21,21.2,9.4,21.2,47
2020/12/1 22:26,21.2,9.4,21.2,47
2020/12/1 22:31,21.2,9.8,21.2,48
2020/12/1 22:36,21.2,9.8,21.2,48
2020/12/1 22:41,21.2,9.8,21.2,48
2020/12/1 22:46,21.2,9.8,21.2,48
2020/12/1 22:51,21.1,9.7,21.1,48
2020/12/1 22:56,21.2,9.8,21.2,48
2020/12/1 23:01,20.8,10.3,20.8,51
2020/12/1 23:06,19.9,10.1,19.9,53
2020/12/1 23:11,19.5,10.0,19.5,54
2020/12/1 23:16,19.2,9.9,19.2,55
2020/12/1 23:21,19.0,10.1,19.0,56
2020/12/1 23:26,18.9,10.2,18.9,57
2020/12/1 23:31,18.8,10.1,18.8,57
2020/12/1 23:36,18.7,10.3,18.7,58
2020/12/1 23:41,18.6,10.2,18.6,58
2020/12/1 23:46,18.6,10.2,18.6,58
2020/12/1 23:51,18.5,10.4,18.5,59
2020/12/1 23:56,18.5,10.4,18.5,59
2020/12/2 0:00,18.4,10.3,18.4,59
2020/12/2 0:01,18.4,10.3,18.4,59
2020/12/2 0:06,18.4,10.3,18.4,59
2020/12/2 0:11,18.3,10.2,18.3,59
2020/12/2 0:16,18.3,10.4,18.3,60
2020/12/2 0:21,18.2,10.3,18.2,60
2020/12/2 0:26,18.2,10.3,18.2,60
2020/12/2 0:31,18.1,10.2,18.1,60
2020/12/2 0:36,18.1,10.2,18.1,60
2020/12/2 0:41,18.1,10.5,18.1,61
2020/12/2 0:46,18.0,10.4,18.0,61
2020/12/2 0:51,18.0,10.4,18.0,61
2020/12/2 0:56,17.9,10.3,17.9,61
2020/12/2 1:01,17.9,10.3,17.9,61
2020/12/2 1:06,17.9,10.3,17.9,61
2020/12/2 1:11,17.8,10.2,17.8,61
2020/12/2 1:16,17.8,10.4,17.8,62
2020/12/2 1:21,17.8,10.4,17.8,62
2020/12/2 1:26,17.7,10.3,17.7,62
2020/12/2 1:31,17.7,10.3,17.7,62
