Zeit,CH1 Temperature(℃),CH1 Taupunkt(℃),CH1 Wärmeindex(℃),CH1 Luftfeuchtigkeit(%),CH2 Temperature(℃),CH2 Taupunkt(℃),CH2 Wärmeindex(℃),CH2 Luftfeuchtigkeit(%),CH3 Temperature(℃),CH3 Taupunkt(℃),CH3 Wärmeindex(℃),CH3 Luftfeuchtigkeit(%),CH4 Temperature(℃),CH4 Taupunkt(℃),CH4 Wärmeindex(℃),CH4 Luftfeuchtigkeit(%),CH5 Temperature(℃),CH5 Taupunkt(℃),CH5 Wärmeindex(℃),CH5 Luftfeuchtigkeit(%),CH6 Temperature(℃),CH6 Taupunkt(℃),CH6 Wärmeindex(℃),CH6 Luftfeuchtigkeit(%),CH7 Temperature(℃),CH7 Taupunkt(℃),CH7 Wärmeindex(℃),CH7 Luftfeuchtigkeit(%),CH8 Temperature(℃),CH8 Taupunkt(℃),CH8 Wärmeindex(℃),CH8 Luftfeuchtigkeit(%),WN35CH1hum(%),WN35CH2hum(%),WN35CH3hum(%),WN35CH4hum(%),WN35CH5hum(%),WN35CH6hum(%),WN35CH7hum(%),WN35CH8hum(%),Blitzanzahl,Blitzentfernung,WH45 Temperatur(℃),WH45 Luftfeuchtigkeit(%),WH45 CO2(ppm),WH45 Pm2.5(ug/m3),WH45 Pm10(ug/m3),BodenfeuchteKA1(%),BodenfeuchteKA2(%),BodenfeuchteKA3(%),BodenfeuchteKA4(%),BodenfeuchteKA5(%),BodenfeuchteKA6(%),BodenfeuchteKA7(%),BodenfeuchteKA8(%),LeckenAuf KA1,LeckenAuf KA2,LeckenAuf KA3,LeckenAuf KA4,Pm2.5KA1(ug/m3),Pm2.5KA2(ug/m3),Pm2.5KA3(ug/m3),Pm2.5KA4(ug/m3),WN34KA1(℃),WN34KA2(℃),WN34KA3(℃),WN34KA4(℃),WN34KA5(℃),WN34KA6(℃),WN34KA7(℃),WN34KA8(℃)
2024/1/1 0:00,11.3,4.3,11.3,62,19.3,12.8,19.3,66,6.0,2.8,6.0,80,--,--,--,--,18.4,11.3,18.4,63,11.5,3.5,11.5,58,1.8,0.5,1.8,91,19.7,11.2,19.7,58,--,--,--,--,--,--,--,--,0,34,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2024/1/1 0:03,11.4,4.4,11.4,62,19.2,12.7,19.2,66,6.0,2.8,6.0,80,--,--,--,--,18.3,11.2,18.3,63,11.5,3.5,11.5,58,1.8,0.5,1.8,91,19.7,11.2,19.7,58,--,--,--,--,--,--,--,--,0,34,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2024/1/1 0:06,11.3,4.3,11.3,62,19.2,12.7,19.2,66,6.0,2.8,6.0,80,--,--,--,--,18.3,11.2,18.3,63,11.5,3.5,11.5,58,1.8,0.5,1.8,91,19.7,11.2,19.7,58,--,--,--,--,--,--,--,--,0,34,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2024/1/1 0:09,11.4,4.4,11.4,62,19.2,12.7,19.2,66,5.9,2.7,5.9,80,--,--,--,--,18.3,11.2,18.3,63,11.5,3.5,11.5,58,1.8,0.5,1.8,91,19.7,11.2,19.7,58,--,--,--,--,--,--,--,--,0,34,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2024/1/1 0:12,11.4,4.4,11.4,62,19.2,12.7,19.2,66,5.9,2.7,5.9,80,--,--,--,--,18.3,11.2,18.3,63,11.5,3.8,11.5,59,1.8,0.5,1.8,91,19.7,11.2,19.7,58,--,--,--,--,--,--,--,--,0,34,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2024/1/1 0:15,11.4,4.4,11.4,62,19.2,12.7,19.2,66,5.9,2.7,5.9,80,--,--,--,--,18.3,11.2,18.3,63,11.5,3.8,11.5,59,1.8,0.5,1.8,91,19.6,11.1,19.6,58,--,--,--,--,--,--,--,--,0,34,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2024/1/1 0:18,11.4,4.4,11.4,62,19.1,12.6,19.1,66,6.0,3.0,6.0,81,--,--,--,--,18.3,11.2,18.3,63,11.5,3.8,11.5,59,1.8,0.5,1.8,91,19.6,11.1,19.6,58,--,--,--,--,--,--,--,--,0,34,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2024/1/1 0:21,11.4,4.4,11.4,62,19.1,12.6,19.1,66,6.1,3.1,6.1,81,--,--,--,--,18.2,11.1,18.2,63,11.5,3.8,11.5,59,1.8,0.5,1.8,91,19.6,11.1,19.6,58,--,--,--,--,--,--,--,--,0,34,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2024/1/1 0:24,11.4,4.4,11.4,62,19.0,12.5,19.0,66,6.2,3.2,6.2,81,--,--,--,--,18.2,11.3,18.2,64,11.5,3.8,11.5,59,1.8,0.5,1.8,91,19.6,11.1,19.6,58,--,--,--,--,--,--,--,--,0,34,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2024/1/1 0:27,11.4,4.4,11.4,62,19.0,12.5,19.0,66,6.3,3.3,6.3,81,--,--,--,--,18.1,11.2,18.1,64,11.5,3.8,11.5,59,1.8,0.5,1.8,91,19.6,11.1,19.6,58,--,--,--,--,--,--,--,--,0,34,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2024/1/1 0:30,11.4,4.4,11.4,62,18.9,12.4,18.9,66,6.4,3.4,6.4,81,--,--,--,--,18.1,11.2,18.1,64,11.5,3.8,11.5,59,1.8,0.5,1.8,91,19.6,11.4,19.6,59,--,--,--,--,--,--,--,--,0,34,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2024/1/1 0:33,11.4,4.4,11.4,62,18.9,12.4,18.9,66,6.6,3.6,6.6,81,--,--,--,--,18.1,11.2,18.1,64,11.5,3.5,11.5,58,1.8,0.5,1.8,91,19.6,11.4,19.6,59,--,--,--,--,--,--,--,--,0,34,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2024/1/1 0:36,11.4,4.4,11.4,62,18.8,12.3,18.8,66,6.6,3.4,6.6,80,--,--,--,--,18.1,11.2,18.1,64,11.5,3.5,11.5,58,1.8,0.5,1.8,91,19.6,11.4,19.6,59,--,--,--,--,--,--,--,--,0,34,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2024/1/1 0:39,11.4,4.4,11.4,62,18.8,12.5,18.8,67,6.7,3.5,6.7,80,--,--,--,--,18.0,11.1,18.0,64,11.5,3.5,11.5,58,1.8,0.5,1.8,91,19.6,11.4,19.6,59,--,--,--,--,--,--,--,--,0,34,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2024/1/1 0:42,11.4,4.4,11.4,62,18.8,12.5,18.8,67,6.8,3.6,6.8,80,--,--,--,--,18.0,11.1,18.0,64,11.4,3.4,11.4,58,1.8,0.5,1.8,91,19.6,11.4,19.6,59,--,--,--,--,--,--,--,--,0,34,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
