Zeit,Temperatur Innen(℃),Luftfeuchtigkeit Innen(%),Temperatur Aussen(℃),Luftfeuchtigkeit Aussen(%),Taupunkt(℃),Gefühlte Temperatur(℃),Wind(km/h),Böe(km/h),Windrichtung(°),Abs. Luftdruck(hpa),Rel. Luftdruck(hpa),Sonneneinstrahlung(w/m2),UVI,Regen/Stunde(mm),Regen Event(mm),Regen/Tag(mm),Regen/Wochen(mm),Regen/Monat(mm),Regen/Jahre(mm),Pm2.5(ug/m3)
2024/10/1 0:00,19.8,63,5.9,99,5.7,5.9,0.0,0.0,21,973.4,1022.2,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 0:03,19.8,63,5.9,99,5.7,5.9,0.0,0.0,21,973.5,1022.3,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 0:06,19.8,63,5.9,99,5.7,5.9,0.0,0.0,21,973.5,1022.3,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 0:09,19.8,63,5.8,99,5.6,5.8,0.0,0.0,21,973.4,1022.2,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 0:12,19.8,63,5.6,99,5.4,5.6,0.0,0.0,22,973.5,1022.3,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 0:15,19.8,63,5.6,99,5.4,5.6,0.0,0.0,22,973.3,1022.1,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 0:18,19.7,63,5.7,99,5.5,5.7,0.0,0.0,22,973.4,1022.2,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 0:21,19.7,63,5.9,99,5.7,5.9,0.0,0.0,22,973.4,1022.2,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 0:24,19.7,63,5.9,99,5.7,5.9,0.0,0.0,22,973.5,1022.3,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 0:27,19.7,63,6.0,99,5.8,6.0,0.0,0.0,22,973.3,1022.1,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 0:30,19.7,64,5.9,99,5.7,5.9,0.0,0.0,22,973.3,1022.1,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 0:33,19.6,64,6.0,99,5.8,6.0,0.0,0.0,23,973.3,1022.1,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 0:36,19.6,64,6.0,99,5.8,6.0,0.0,0.0,23,973.2,1022.0,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 0:39,19.6,64,6.1,99,5.9,6.1,1.8,1.8,44,973.2,1022.0,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 0:42,19.6,64,6.0,99,5.8,6.0,0.0,0.0,26,973.4,1022.2,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 0:45,19.6,64,6.0,99,5.8,6.0,0.0,0.0,31,973.4,1022.2,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 0:48,19.6,64,6.1,99,5.9,6.1,0.7,1.8,39,973.2,1022.0,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 0:51,19.5,64,6.2,99,6.0,6.2,1.8,1.8,73,973.3,1022.1,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 0:54,19.6,64,6.3,99,6.1,6.3,0.4,1.8,38,973.2,1022.0,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 0:57,19.5,64,6.3,99,6.1,6.3,0.0,0.0,28,973.2,1022.0,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 1:00,19.5,64,6.3,99,6.1,6.3,0.0,0.0,24,973.3,1022.1,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 1:03,19.5,64,6.3,99,6.1,6.3,0.0,0.0,28,973.4,1022.2,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 1:06,19.5,64,6.3,99,6.1,6.3,0.0,0.0,32,973.4,1022.2,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 1:09,19.5,64,6.2,99,6.0,6.2,0.0,0.0,21,973.3,1022.1,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 1:12,19.5,64,6.2,99,6.0,6.2,1.8,1.8,1,973.3,1022.1,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 1:15,19.5,64,6.0,99,5.8,6.0,0.4,1.8,11,973.2,1022.0,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 1:18,19.4,64,6.1,99,5.9,6.1,0.0,0.0,16,973.1,1021.9,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 1:21,19.4,64,6.2,99,6.0,6.2,0.0,0.0,16,973.1,1021.9,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 1:24,19.4,64,6.2,99,6.0,6.2,0.0,0.0,17,973.3,1022.1,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 1:27,19.4,64,6.3,99,6.1,6.3,0.0,0.0,18,973.6,1022.4,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 1:30,19.4,64,6.3,99,6.1,6.3,0.0,0.0,19,973.4,1022.2,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 1:33,19.4,64,6.3,99,6.1,6.3,0.0,0.0,23,973.2,1022.0,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 1:36,19.4,64,6.3,99,6.1,6.3,0.0,0.0,30,973.3,1022.1,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 1:39,19.4,64,6.3,99,6.1,6.3,0.0,0.0,33,973.3,1022.1,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 1:42,19.4,64,6.3,99,6.1,6.3,1.4,1.8,38,973.1,1021.9,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 1:45,19.4,64,6.3,99,6.1,6.3,1.8,1.8,71,973.1,1021.9,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 1:48,19.4,64,6.3,99,6.1,6.3,1.1,1.8,34,972.9,1021.7,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 1:51,19.3,64,6.3,99,6.1,6.3,0.0,0.0,27,973.1,1021.9,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 1:54,19.3,64,6.3,99,6.1,6.3,0.0,0.0,26,973.0,1021.8,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 1:57,19.3,64,6.2,99,6.0,6.2,0.0,0.0,26,973.2,1022.0,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 2:00,19.3,64,6.2,99,6.0,6.2,0.0,0.0,26,973.1,1021.9,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 2:03,19.3,64,6.2,99,6.0,6.2,0.0,0.0,26,973.1,1021.9,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 2:06,19.3,64,6.2,99,6.0,6.2,0.0,0.0,17,973.2,1022.0,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 2:09,19.3,64,6.0,99,5.8,6.0,0.0,0.0,17,973.0,1021.8,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 2:12,19.3,64,6.0,99,5.8,6.0,0.0,0.0,18,973.0,1021.8,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 2:15,19.3,64,6.0,99,5.8,6.0,0.0,0.0,18,973.1,1021.9,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 2:18,19.2,64,6.1,99,5.9,6.1,0.0,0.0,18,972.9,1021.7,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 2:21,19.2,64,6.2,99,6.0,6.2,0.0,0.0,16,973.2,1022.0,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 2:24,19.3,64,6.1,99,5.9,6.1,0.0,0.0,17,973.1,1021.9,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 2:27,19.2,64,6.2,99,6.0,6.2,0.0,0.0,17,973.1,1021.9,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 2:30,19.2,64,6.2,99,6.0,6.2,0.0,0.0,17,972.9,1021.7,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 2:33,19.2,64,6.3,99,6.1,6.3,0.0,0.0,17,973.2,1022.0,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 2:36,19.2,64,6.3,99,6.1,6.3,0.0,0.0,14,973.1,1021.9,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 2:39,19.2,64,6.3,99,6.1,6.3,0.0,0.0,15,973.1,1021.9,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 2:42,19.2,64,6.3,99,6.1,6.3,0.0,0.0,15,972.8,1021.6,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 2:45,19.2,64,6.3,99,6.1,6.3,0.0,0.0,15,973.2,1022.0,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 2:48,19.2,64,6.2,99,6.0,6.2,0.0,0.0,14,972.8,1021.6,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 2:51,19.2,64,6.3,99,6.1,6.3,0.4,1.8,11,973.0,1021.8,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 2:54,19.2,64,6.3,99,6.1,6.3,0.0,0.0,8,973.0,1021.8,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 2:57,19.1,64,6.3,99,6.1,6.3,0.7,1.8,11,972.8,1021.6,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 3:00,19.1,64,6.3,99,6.1,6.3,0.0,0.0,13,972.8,1021.6,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 3:03,19.1,64,6.3,99,6.1,6.3,0.0,0.0,13,972.9,1021.7,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 3:06,19.1,64,6.4,99,6.2,6.4,0.0,0.0,14,972.7,1021.5,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 3:09,19.1,64,6.4,99,6.2,6.4,0.0,0.0,14,972.6,1021.4,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 3:12,19.1,64,6.3,99,6.1,6.3,0.0,0.0,15,972.7,1021.5,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 3:15,19.1,64,6.5,99,6.3,6.5,0.0,0.0,33,972.6,1021.4,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
2024/10/1 3:18,19.1,64,6.4,99,6.2,6.4,1.1,1.8,37,972.8,1021.6,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,--
