Time,Thunder count,Thunder distance,WH45 Temperature(℃),WH45 Humidity(%),WH45 CO2(ppm),WH45 Pm2.5(ug/m3),WH45 Pm10(ug/m3),SoilMoistureCH1(%),SoilMoistureCH2(%),SoilMoistureCH3(%),SoilMoistureCH4(%),SoilMoistureCH5(%),SoilMoistureCH6(%),SoilMoistureCH7(%),SoilMoistureCH8(%),WaterCH1,WaterCH2,WaterCH3,WaterCH4,Pm2.5CH1(ug/m3),Pm2.5CH2(ug/m3),Pm2.5CH3(ug/m3),Pm2.5CH4(ug/m3),WH34CH1(℃),WH34CH2(℃),WH34CH3(℃),WH34CH4(℃),WH34CH5(℃),WH34CH6(℃),WH34CH7(℃),WH34CH8(℃)
2020/11/27 19:12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020/11/27 19:17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020/11/27 19:22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
