Zeit,Temperatur Innen(℃),Luftfeuchtigkeit Innen(%),Temperatur Aussen(℃),Luftfeuchtigkeit Aussen(%),Taupunkt(℃),Gefühlte Temperatur(℃),Wind(km/h),Böe(km/h),Windrichtung(°),Abs. Luftdruck(hpa),Rel. Luftdruck(hpa),Sonneneinstrahlung(w/m2),UVI,Regen/Stunde(mm),Regen Event(mm),Regen/Tag(mm),Regen/Wochen(mm),Regen/Monat(mm),Regen/Jahre(mm),Pm2.5(ug/m3)
2022/11/1 0:00,21.3,68,8.4,99,8.2,8.4,0.0,0.0,133,975.6,1024.4,0.0,0,0.0,0.0,0.0,0.5,0.0,667.2,--
2022/11/1 0:02,21.3,68,8.5,99,8.3,8.5,0.0,0.0,133,975.6,1024.4,0.0,0,0.0,0.0,0.0,0.5,0.0,667.2,--
2022/11/1 0:05,21.3,68,8.5,99,8.3,8.5,0.0,0.0,133,975.3,1024.1,0.0,0,0.0,0.0,0.0,0.5,0.0,667.2,--
2022/11/1 0:08,21.2,68,8.4,99,8.2,8.4,1.8,1.8,134,975.3,1024.1,0.0,0,0.0,0.0,0.0,0.5,0.0,667.2,--
2022/11/1 0:11,21.3,68,8.3,99,8.1,8.3,0.0,0.0,135,975.5,1024.3,0.0,0,0.0,0.0,0.0,0.5,0.0,667.2,--
2022/11/1 0:14,21.2,68,8.2,99,8.0,8.2,0.7,1.8,135,975.3,1024.1,0.0,0,0.0,0.0,0.0,0.5,0.0,667.2,--
2022/11/1 0:17,21.2,68,8.1,99,7.9,8.1,1.4,1.8,136,975.2,1024.0,0.0,0,0.0,0.0,0.0,0.5,0.0,667.2,--
2022/11/1 0:20,21.2,68,7.9,99,7.7,7.9,1.1,1.8,136,975.2,1024.0,0.0,0,0.0,0.0,0.0,0.5,0.0,667.2,--
2022/11/1 0:23,21.2,68,7.9,99,7.7,7.9,1.4,1.8,137,975.4,1024.2,0.0,0,0.0,0.0,0.0,0.5,0.0,667.2,--
2022/11/1 0:26,21.2,68,7.9,99,7.7,7.9,1.4,1.8,137,975.5,1024.3,0.0,0,0.0,0.0,0.0,0.5,0.0,667.2,--
2022/11/1 0:29,21.2,68,7.9,99,7.7,7.9,1.4,1.8,138,975.4,1024.2,0.0,0,0.0,0.0,0.0,0.5,0.0,667.2,--
2022/11/1 0:32,21.2,68,8.0,99,7.8,8.0,0.0,0.0,138,975.3,1024.1,0.0,0,0.0,0.0,0.0,0.5,0.0,667.2,--
2022/11/1 0:35,21.1,68,8.0,99,7.8,8.0,0.0,0.0,138,975.3,1024.1,0.0,0,0.2,0.2,0.2,0.7,0.2,667.4,--
2022/11/1 0:38,21.1,68,8.0,99,7.8,8.0,0.0,0.0,138,975.4,1024.2,0.0,0,0.2,0.2,0.2,0.7,0.2,667.4,--
2022/11/1 0:41,21.1,68,8.0,99,7.8,8.0,0.0,0.0,138,975.4,1024.2,0.0,0,0.2,0.2,0.2,0.7,0.2,667.4,--
2022/11/1 0:44,21.1,68,8.1,99,7.9,8.1,0.7,1.8,138,975.1,1023.9,0.0,0,0.2,0.2,0.2,0.7,0.2,667.4,--
2022/11/1 0:47,21.1,68,8.1,99,7.9,8.1,0.4,1.8,138,975.2,1024.0,0.0,0,0.2,0.2,0.2,0.7,0.2,667.4,--
2022/11/1 0:50,21.1,68,8.2,99,8.0,8.2,1.4,1.8,138,975.4,1024.2,0.0,0,0.2,0.2,0.2,0.7,0.2,667.4,--
2022/11/1 0:53,21.1,68,8.2,99,8.0,8.2,1.4,1.8,138,975.2,1024.0,0.0,0,0.2,0.2,0.2,0.7,0.2,667.4,--
2022/11/1 0:56,21.0,68,8.2,99,8.0,8.2,1.1,1.8,137,975.2,1024.0,0.0,0,0.2,0.2,0.2,0.7,0.2,667.4,--
2022/11/1 0:59,21.0,68,8.2,99,8.0,8.2,2.2,3.6,122,975.2,1024.0,0.0,0,0.2,0.2,0.2,0.7,0.2,667.4,--
2022/11/1 1:02,21.0,68,8.1,99,7.9,8.1,1.8,1.8,122,975.1,1023.9,0.0,0,0.2,0.2,0.2,0.7,0.2,667.4,--
2022/11/1 1:05,21.0,68,8.1,99,7.9,8.1,1.4,1.8,123,975.2,1024.0,0.0,0,0.2,0.2,0.2,0.7,0.2,667.4,--
2022/11/1 1:08,21.0,68,8.1,99,7.9,8.1,1.8,1.8,125,975.0,1023.8,0.0,0,0.2,0.2,0.2,0.7,0.2,667.4,--
2022/11/1 1:11,21.0,68,8.1,99,7.9,8.1,2.9,3.6,130,975.0,1023.8,0.0,0,0.2,0.2,0.2,0.7,0.2,667.4,--
2022/11/1 1:14,21.0,68,8.1,99,7.9,8.1,2.2,3.6,132,974.9,1023.7,0.0,0,0.2,0.2,0.2,0.7,0.2,667.4,--
2022/11/1 1:17,21.0,68,8.0,99,7.8,8.0,1.8,1.8,122,975.0,1023.8,0.0,0,0.2,0.2,0.2,0.7,0.2,667.4,--
2022/11/1 1:20,20.9,68,8.0,99,7.8,8.0,3.6,3.6,140,974.9,1023.7,0.0,0,0.2,0.2,0.2,0.7,0.2,667.4,--
2022/11/1 1:23,20.9,68,7.9,99,7.7,7.9,4.0,5.4,118,974.9,1023.7,0.0,0,0.2,0.2,0.2,0.7,0.2,667.4,--
2022/11/1 1:26,20.9,68,8.0,99,7.8,8.0,2.9,3.6,111,974.8,1023.6,0.0,0,0.2,0.2,0.2,0.7,0.2,667.4,--
2022/11/1 1:29,20.9,68,8.0,99,7.8,8.0,2.2,3.6,110,974.7,1023.5,0.0,0,0.2,0.2,0.2,0.7,0.2,667.4,--
2022/11/1 1:32,20.9,68,8.0,99,7.8,8.0,1.8,1.8,103,975.0,1023.8,0.0,0,0.0,0.2,0.2,0.7,0.2,667.4,--
2022/11/1 1:35,20.9,68,8.0,99,7.8,8.0,1.4,1.8,113,975.0,1023.8,0.0,0,0.0,0.2,0.2,0.7,0.2,667.4,--
2022/11/1 1:38,20.9,68,8.0,99,7.8,8.0,0.0,0.0,118,975.1,1023.9,0.0,0,0.0,0.2,0.2,0.7,0.2,667.4,--
2022/11/1 1:41,20.8,68,8.0,99,7.8,8.0,0.0,0.0,122,975.0,1023.8,0.0,0,0.0,0.2,0.2,0.7,0.2,667.4,--
2022/11/1 1:44,20.8,68,7.9,99,7.7,7.9,0.4,1.8,124,975.2,1024.0,0.0,0,0.0,0.2,0.2,0.7,0.2,667.4,--
2022/11/1 1:47,20.8,68,7.8,99,7.6,7.8,0.0,0.0,121,975.0,1023.8,0.0,0,0.0,0.0,0.2,0.7,0.2,667.4,--
2022/11/1 1:50,20.8,68,7.9,99,7.7,7.9,1.1,1.8,124,975.1,1023.9,0.0,0,0.0,0.0,0.2,0.7,0.2,667.4,--
2022/11/1 1:53,20.8,68,7.9,99,7.7,7.9,0.0,0.0,123,975.0,1023.8,0.0,0,0.0,0.0,0.2,0.7,0.2,667.4,--
2022/11/1 1:56,20.8,68,8.0,99,7.8,8.0,1.8,1.8,127,975.2,1024.0,0.0,0,0.0,0.0,0.2,0.7,0.2,667.4,--
2022/11/1 1:59,20.8,68,8.0,99,7.8,8.0,0.0,0.0,107,975.2,1024.0,0.0,0,0.0,0.0,0.2,0.7,0.2,667.4,--
2022/11/1 2:02,20.8,68,8.0,99,7.8,8.0,1.4,1.8,140,975.1,1023.9,0.0,0,0.0,0.0,0.2,0.7,0.2,667.4,--
2022/11/1 2:05,20.7,68,7.9,99,7.7,7.9,0.7,1.8,112,975.2,1024.0,0.0,0,0.0,0.0,0.2,0.7,0.2,667.4,--
2022/11/1 2:08,20.8,68,7.9,99,7.7,7.9,1.4,1.8,124,975.2,1024.0,0.0,0,0.0,0.0,0.2,0.7,0.2,667.4,--
2022/11/1 2:11,20.8,68,7.9,99,7.7,7.9,0.0,0.0,119,975.0,1023.8,0.0,0,0.0,0.0,0.2,0.7,0.2,667.4,--
