Zeit,Temperatur Innen(℃),Luftfeuchtigkeit Innen(%),Temperatur Aussen(℃),Luftfeuchtigkeit Aussen(%),Taupunkt(℃),Gefühlte Temperatur(℃),Wind(km/h),Böe(km/h),Windrichtung(°),Abs. Luftdruck(hpa),Rel. Luftdruck(hpa),Sonneneinstrahlung(w/m2),UVI,Regen/Stunde(mm),Regen Event(mm),Regen/Tag(mm),Regen/Wochen(mm),Regen/Monat(mm),Regen/Jahre(mm),Pm2.5(ug/m3)
2021/1/1 0:00,21.3,53,0.7,98,0.4,0.7,1.1,1.8,244,963.0,1012.7,0.0,0,0.0,4.3,0.0,4.5,0.0,0.0,--
2021/1/1 0:03,21.2,53,0.6,99,0.4,0.6,0.7,1.8,244,963.1,1012.8,0.0,0,0.0,4.3,0.0,4.5,0.0,0.0,--
2021/1/1 0:08,21.2,53,0.5,99,0.3,0.5,0.4,1.8,241,962.7,1012.4,0.0,0,0.0,4.3,0.0,4.5,0.0,0.0,--
2021/1/1 0:13,21.2,54,0.5,99,0.3,0.5,0.0,0.0,241,962.8,1012.5,0.0,0,0.0,4.3,0.0,4.5,0.0,0.0,--
2021/1/1 0:18,21.1,53,0.6,98,0.3,0.6,0.0,0.0,241,962.9,1012.6,0.0,0,0.0,4.3,0.0,4.5,0.0,0.0,--
2021/1/1 0:23,21.1,54,0.8,97,0.4,0.8,1.1,1.8,237,962.8,1012.5,0.0,0,0.0,4.3,0.0,4.5,0.0,0.0,--
2021/1/1 0:28,21.0,54,0.8,96,0.3,0.8,0.7,1.8,188,962.9,1012.6,0.0,0,0.0,4.3,0.0,4.5,0.0,0.0,--
2021/1/1 0:33,21.0,54,0.6,98,0.3,0.6,0.0,0.0,188,963.0,1012.7,0.0,0,0.0,4.3,0.0,4.5,0.0,0.0,--
2021/1/1 0:38,20.9,54,0.6,98,0.3,0.6,0.0,0.0,189,962.7,1012.4,0.0,0,0.0,4.3,0.0,4.5,0.0,0.0,--
2021/1/1 0:43,20.9,54,0.6,98,0.3,0.6,0.0,0.0,189,962.9,1012.6,0.0,0,0.0,4.3,0.0,4.5,0.0,0.0,--
2021/1/1 0:48,20.8,54,0.6,98,0.3,0.6,0.0,0.0,189,963.0,1012.7,0.0,0,0.0,4.3,0.0,4.5,0.0,0.0,--
2021/1/1 0:53,20.8,54,0.6,98,0.3,0.6,0.4,1.8,189,962.8,1012.5,0.0,0,0.0,4.3,0.0,4.5,0.0,0.0,--
2021/1/1 0:58,20.7,54,0.5,98,0.2,0.5,0.0,0.0,189,962.8,1012.5,0.0,0,0.0,4.3,0.0,4.5,0.0,0.0,--
2021/1/1 1:03,20.6,54,0.4,99,0.2,0.4,0.0,0.0,189,962.8,1012.5,0.0,0,0.0,4.3,0.0,4.5,0.0,0.0,--
2021/1/1 1:08,20.6,54,0.3,99,0.1,0.3,1.1,1.8,189,962.7,1012.4,0.0,0,0.0,4.3,0.0,4.5,0.0,0.0,--
2021/1/1 1:13,20.5,54,0.3,99,0.1,0.3,0.0,0.0,189,963.0,1012.7,0.0,0,0.0,4.3,0.0,4.5,0.0,0.0,--
2021/1/1 1:18,20.4,54,0.3,99,0.1,0.3,0.0,0.0,189,962.8,1012.5,0.0,0,0.0,4.3,0.0,4.5,0.0,0.0,--
2021/1/1 1:23,20.4,54,0.4,99,0.2,0.4,0.0,0.0,189,962.7,1012.4,0.0,0,0.0,4.3,0.0,4.5,0.0,0.0,--
2021/1/1 1:28,20.3,54,0.5,99,0.3,0.5,1.8,1.8,187,962.8,1012.5,0.0,0,0.0,4.3,0.0,4.5,0.0,0.0,--
